post_id,handle,platform,post_date,post_time_est,follower_count,impressions,engagement_rate,disclosure_pattern,compliance_status,health_claim_detected,health_claim_compliant,penalty_exposure_usd,review_date,reviewer,action_required,notes
POST-0939,@immunity_insider,Instagram Stories,2026-03-05,11:30:00,55472,17123,1.79,"Ad: at beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-10,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0940,@guthealth_guru,YouTube,2026-01-15,14:15:00,22623,8982,4.79,"#ad buried as last hashtag",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-20,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0941,@immunity_insider,YouTube,2026-03-23,12:15:00,72057,22199,2.8,"Ad: at beginning",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0942,@microbiome_maven,TikTok,2026-02-10,16:45:00,19168,8268,3.12,"Platform Paid Partnership only",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-15,Sarah Chen,NONE,Follow up required before next post
POST-0943,@supplementspro,Instagram,2026-02-14,14:45:00,69524,18182,5.87,"#ad first hashtag",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-19,Jordan Ellis,NONE,Formal notice issued
POST-0944,@digestive_digest,TikTok,2026-02-23,17:30:00,58096,10483,2.24,"Platform Paid Partnership only",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-28,Jordan Ellis,NONE,Verbal reminder sent to influencer
POST-0945,@immunity_insider,TikTok,2026-02-15,08:45:00,93316,35320,1.55,"#ad at post beginning",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-20,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0946,@wellnesswithjenna,Instagram,2026-02-18,22:00:00,81564,35960,4.25,"Disclosure in bio only",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-23,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0947,@vitalitycoach,Reels,2026-01-02,13:15:00,23147,4689,2.75,"#ad at post beginning",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-02-07,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0948,@nourishednaturally,Instagram,2026-02-22,12:30:00,55295,21351,5.62,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-27,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0949,@fitandfueled,Instagram Stories,2026-02-02,09:45:00,81091,23977,1.36,"#sponsored in middle",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-07,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0950,@vitamindiary,Instagram,2026-02-15,13:30:00,83150,33142,3.89,"#sponsored in middle",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-20,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0951,@wellnesswithjenna,YouTube,2026-01-19,15:30:00,22673,8749,5.63,"Platform Paid Partnership only",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-02-24,Jordan Ellis,NONE,Verbal reminder sent to influencer
POST-0952,@nourishednaturally,TikTok,2026-01-20,19:15:00,39875,7223,2.14,"Platform Paid Partnership only",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-02-25,Jordan Ellis,NONE,Influencer agreement updated
POST-0953,@vitalitycoach,YouTube,2026-02-16,14:15:00,27027,4392,5.11,"No disclosure",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-21,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0954,@vitamindiary,Instagram Stories,2026-01-05,13:45:00,85415,17655,6.09,"#ad at post beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-10,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0955,@fitandfueled,TikTok,2026-01-04,14:00:00,90569,20364,5.3,"Platform Paid Partnership only",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-02-09,Sarah Chen,NONE,Corrected in subsequent post
POST-0956,@vitalitycoach,TikTok,2026-02-25,19:15:00,69659,10649,5.76,"Disclosure in bio only",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-28,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0957,@wellnesswithjenna,Instagram Stories,2026-01-18,17:30:00,61061,24526,4.11,"Disclosure in bio only",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-02-23,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0958,@immunity_insider,Reels,2026-01-17,13:30:00,92369,23803,5.31,"Disclosure in bio only",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-02-22,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0959,@supplementspro,TikTok,2026-02-05,08:45:00,21047,8322,5.62,"#sponsored in middle",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-10,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0960,@immunity_insider,YouTube,2026-03-01,17:15:00,39399,11892,5.02,"#ad buried as last hashtag",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-06,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0961,@immunity_insider,Reels,2026-03-28,21:15:00,53642,9731,2.33,"#ad buried as last hashtag",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0962,@vitamindiary,TikTok,2026-02-13,15:00:00,30501,8358,5.72,"No disclosure",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-18,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0963,@vitalitycoach,Instagram Stories,2026-03-06,13:30:00,32952,8051,4.5,"#ad buried as last hashtag",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-11,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0964,@supplementspro,TikTok,2026-02-26,17:30:00,63973,12313,5.13,"#sponsored in middle",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0965,@probiotic_life,Instagram Stories,2026-01-17,15:30:00,94672,20398,3.53,"Ad: at beginning",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-22,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0966,@nourishednaturally,YouTube,2026-01-10,14:15:00,26963,8473,2.14,"No disclosure",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-02-15,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0967,@immunity_insider,Instagram,2026-01-15,15:00:00,52070,11560,0.99,"#ad buried as last hashtag",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-20,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0968,@wellnesswithjenna,TikTok,2026-03-01,21:15:00,73299,12876,3.2,"Disclosure in bio only",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-06,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0969,@nutriscience,Reels,2026-01-16,22:15:00,94136,32139,1.07,"#sponsored in middle",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-02-21,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0970,@nutriscience,YouTube,2026-03-21,21:30:00,19950,7718,6.07,"Platform Paid Partnership only",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-03-26,Jordan Ellis,NONE,Verbal reminder sent to influencer
POST-0971,@vitalitycoach,Reels,2026-02-01,22:45:00,55795,17713,0.87,"Platform Paid Partnership only",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-03-06,Casey Park,NONE,Influencer agreement updated
POST-0972,@immunity_insider,Reels,2026-02-13,18:00:00,58620,12204,3.18,"No disclosure",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-18,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0973,@microbiome_maven,TikTok,2026-01-25,14:30:00,60823,20454,3.69,"#ad first hashtag",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-02-28,Jordan Ellis,NONE,Compliant - no action needed
POST-0974,@nutriscience,TikTok,2026-01-05,14:00:00,29680,8439,4.34,"#ad at post beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-02-10,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0975,@immunity_insider,Instagram Stories,2026-01-20,11:45:00,35534,11277,5.72,"#ad at post beginning",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-25,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0976,@immunity_insider,Reels,2026-01-22,11:00:00,16400,5536,5.29,"Platform Paid Partnership only",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-02-27,Casey Park,NONE,Corrected in subsequent post
POST-0977,@microbiome_maven,Instagram,2026-02-21,11:00:00,49040,11619,1.59,"Ad: at beginning",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-26,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0978,@immunity_insider,Reels,2026-03-09,13:15:00,16962,3359,3.28,"#sponsored in middle",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-14,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0979,@digestive_digest,Instagram,2026-03-09,11:30:00,53926,21482,5.3,"Disclosure in bio only",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-14,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0980,@cleanwellness,Reels,2026-01-12,18:45:00,32994,9562,4.66,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-02-17,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0981,@fitandfueled,Instagram,2026-01-12,13:15:00,18930,4035,0.83,"Disclosure in bio only",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-02-17,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0982,@fitandfueled,Instagram,2026-02-12,10:00:00,40470,6899,1.28,"No disclosure",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-17,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0983,@fitandfueled,TikTok,2026-02-18,10:45:00,74215,28591,5.84,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-23,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0984,@guthealth_guru,YouTube,2026-03-02,18:00:00,29083,10155,2.4,"Verbal only (video)",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-03-07,Sarah Chen,NONE,Verbal reminder sent to influencer
POST-0985,@nutriscience,TikTok,2026-02-28,13:15:00,65253,21082,3.77,"No disclosure",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0986,@guthealth_guru,Instagram Stories,2026-02-17,10:45:00,70745,15522,5.17,"Ad: at beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-22,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0987,@cleanwellness,YouTube,2026-03-10,09:15:00,19824,8661,3.38,"#sponsored in middle",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-15,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0988,@fitandfueled,TikTok,2026-01-21,14:45:00,33082,6424,6.11,"Platform Paid Partnership only",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-02-26,Casey Park,NONE,Follow up required before next post
POST-0989,@supplementspro,Instagram,2026-01-19,14:45:00,70256,17381,2.28,"Disclosure in bio only",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-24,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0990,@vitamindiary,Reels,2026-02-10,18:30:00,37797,16332,3.36,"#sponsored in middle",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-15,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0991,@vitalitycoach,TikTok,2026-02-18,16:45:00,62872,23183,3.74,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-23,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0992,@vitamindiary,Instagram Stories,2026-03-08,08:00:00,56413,23341,0.91,"Disclosure in bio only",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-13,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0993,@digestive_digest,Reels,2026-01-27,22:45:00,15888,2759,2.64,"Disclosure in bio only",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-28,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0994,@nutriscience,Instagram,2026-01-13,18:30:00,51262,17459,4.15,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-02-18,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0995,@supplementspro,Instagram Stories,2026-01-14,22:00:00,22203,4675,4.65,"Verbal only (video)",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-02-19,Jordan Ellis,NONE,Formal notice issued
POST-0996,@fitandfueled,Reels,2026-02-20,20:00:00,47535,7674,1.52,"#ad first hashtag",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-25,Casey Park,NONE,Verbal reminder sent to influencer
POST-0997,@holistic_health_hub,TikTok,2026-03-19,18:45:00,50235,10476,6.09,"Verbal only (video)",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-24,Casey Park,NONE,Compliant - no action needed
POST-0998,@nourishednaturally,Reels,2026-03-04,22:00:00,47305,10094,1.71,"#sponsored in middle",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-09,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0999,@fitandfueled,YouTube,2026-03-06,08:45:00,17065,2934,4.68,"Disclosure in bio only",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-11,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-1000,@digestive_digest,Instagram Stories,2026-01-27,22:30:00,90763,39268,2.01,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-02-28,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-1001,@cleanwellness,Reels,2026-01-04,08:15:00,30352,9562,2.12,"Verbal only (video)",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-02-09,Casey Park,NONE,Compliant - no action needed
POST-1002,@cleanwellness,Instagram,2026-02-21,17:00:00,12324,2175,2.79,"Platform Paid Partnership only",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-03-26,Casey Park,NONE,Compliant - no action needed
POST-1003,@vitalitycoach,YouTube,2026-02-21,13:15:00,17603,5417,3.41,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-26,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-1004,@probiotic_life,Reels,2026-02-23,22:30:00,30070,5068,1.5,"Disclosure in bio only",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-1005,@nutriscience,Instagram Stories,2026-02-03,16:45:00,23626,8362,2.1,"#ad at post beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-08,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-1006,@fitandfueled,Instagram,2026-02-07,11:15:00,63077,11650,3.81,"#ad at post beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-12,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-1007,@wellnesswithjenna,Instagram,2026-02-05,13:45:00,20305,8887,5.22,"Disclosure in bio only",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-10,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-1008,@fitandfueled,Instagram Stories,2026-02-28,13:15:00,14781,3406,5.15,"#ad first hashtag",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-28,Sarah Chen,NONE,Follow up required before next post
POST-1009,@guthealth_guru,TikTok,2026-03-25,12:30:00,34712,8469,4.38,"Disclosure in bio only",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-1010,@cleanwellness,Reels,2026-03-08,13:45:00,31325,9174,5.35,"No disclosure",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-13,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-1011,@vitalitycoach,Instagram,2026-02-01,15:45:00,34264,11879,3.2,"No disclosure",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-06,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-1012,@vitamindiary,TikTok,2026-02-26,09:30:00,54855,16220,5.91,"No disclosure",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-1013,@cleanwellness,Reels,2026-03-24,18:15:00,80903,19780,3.92,"#sponsored in middle",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-1014,@vitalitycoach,Instagram,2026-02-18,13:30:00,66964,17507,0.93,"No disclosure",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-23,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-1015,@cleanwellness,Reels,2026-03-10,12:45:00,38961,11427,4.53,"#ad buried as last hashtag",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-15,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-1016,@fitandfueled,TikTok,2026-02-16,19:30:00,77357,32706,1.45,"#ad at post beginning",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-21,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-1017,@nourishednaturally,Instagram Stories,2026-02-07,22:45:00,90002,24167,1.19,"Platform Paid Partnership only",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-12,Sarah Chen,NONE,Follow up required before next post
POST-1018,@supplementspro,Instagram Stories,2026-03-04,12:15:00,12968,4155,3.91,"Platform Paid Partnership only",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-09,Jordan Ellis,NONE,Follow up required before next post
POST-1019,@wellnesswithjenna,TikTok,2026-02-19,12:45:00,54624,23283,5.44,"#ad buried as last hashtag",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-24,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-1020,@microbiome_maven,Reels,2026-03-22,09:15:00,29915,12110,5.61,"Verbal only (video)",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-03-27,Casey Park,NONE,Influencer agreement updated
POST-1021,@supplementspro,Instagram,2026-02-12,22:45:00,39595,17797,4.3,"Ad: at beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-17,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-1022,@supplementspro,Reels,2026-03-04,10:45:00,91174,37354,3.57,"Disclosure in bio only",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-09,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-1023,@microbiome_maven,Instagram,2026-03-18,13:15:00,93438,35417,3.11,"No disclosure",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-23,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-1024,@cleanwellness,Instagram Stories,2026-03-09,17:00:00,79266,25071,4.52,"#ad at post beginning",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-14,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-1025,@probiotic_life,Instagram Stories,2026-03-01,11:00:00,14841,6621,1.59,"#sponsored in middle",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-06,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-1026,@supplementspro,Instagram Stories,2026-02-08,09:00:00,58609,22671,5.09,"#ad buried as last hashtag",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-13,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-1027,@immunity_insider,TikTok,2026-01-07,13:45:00,65801,23858,0.86,"Platform Paid Partnership only",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-02-12,Sarah Chen,NONE,Follow up required before next post
POST-1028,@vitalitycoach,Reels,2026-02-09,17:30:00,77233,15322,5.81,"Verbal only (video)",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-14,Sarah Chen,NONE,Formal notice issued
POST-1029,@microbiome_maven,TikTok,2026-02-04,22:45:00,20981,3870,5.64,"#ad at post beginning",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-09,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-1030,@vitalitycoach,Reels,2026-01-03,13:30:00,35870,6719,4.86,"No disclosure",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-08,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-1031,@cleanwellness,Reels,2026-02-09,16:45:00,19524,7760,3.3,"#sponsored in middle",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-14,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-1032,@nutriscience,YouTube,2026-01-16,18:30:00,75304,23357,1.96,"#ad first hashtag",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-02-21,Sarah Chen,NONE,Compliant - no action needed
POST-1033,@wellnesswithjenna,TikTok,2026-02-11,17:15:00,91409,26107,1.43,"Ad: at beginning",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-16,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-1034,@vitamindiary,TikTok,2026-03-22,20:15:00,29173,12628,4.28,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-27,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-1035,@guthealth_guru,TikTok,2026-03-05,22:30:00,85577,25639,3.41,"#sponsored in middle",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-10,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-1036,@vitalitycoach,YouTube,2026-01-02,16:45:00,44077,11784,4.27,"Verbal only (video)",COMPLIANT,"Supports immune health (compliant)",Yes,0,2026-02-07,Casey Park,NONE,Formal notice issued
POST-1037,@nutriscience,YouTube,2026-02-01,19:30:00,72267,30647,1.56,"No disclosure",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-06,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-1038,@wellnesswithjenna,TikTok,2026-01-26,17:15:00,24445,6580,2.35,"No disclosure",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-02-28,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-1039,@vitamindiary,Instagram,2026-02-23,13:00:00,71795,28628,3.68,"#sponsored in middle",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-1040,@vitamindiary,Instagram,2026-03-09,14:45:00,66573,28435,4.52,"No disclosure",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-14,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-1041,@digestive_digest,TikTok,2026-03-14,19:15:00,33391,10571,4.68,"Verbal only (video)",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-19,Sarah Chen,NONE,Influencer agreement updated
POST-1042,@holistic_health_hub,TikTok,2026-01-21,10:30:00,40125,8815,4.11,"#ad at post beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-02-26,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-1043,@nourishednaturally,Reels,2026-01-12,21:00:00,41725,11555,5.14,"No disclosure",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-17,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-1044,@wellnesswithjenna,Instagram,2026-02-18,14:15:00,82321,18033,2.92,"Platform Paid Partnership only",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-23,Jordan Ellis,NONE,Follow up required before next post
POST-1045,@immunity_insider,Reels,2026-03-09,22:00:00,47924,12569,6.13,"#ad buried as last hashtag",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-14,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-1046,@cleanwellness,TikTok,2026-01-05,16:45:00,29394,9519,2.11,"Ad: at beginning",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-02-10,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-1047,@nourishednaturally,Reels,2026-03-13,12:30:00,89949,23696,5.32,"Verbal only (video)",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-18,Sarah Chen,NONE,Influencer agreement updated
POST-1048,@nourishednaturally,Instagram Stories,2026-02-17,22:30:00,52187,10800,1.62,"No disclosure",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-22,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-1049,@supplementspro,Instagram Stories,2026-03-21,20:00:00,13926,4785,1.57,"Ad: at beginning",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-26,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-1050,@nourishednaturally,Reels,2026-03-24,19:30:00,82077,20514,5.53,"#ad at post beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-1051,@digestive_digest,Instagram Stories,2026-02-16,21:00:00,77052,16716,2.62,"#ad at post beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-03-21,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
